data_sinal,prob_alta_proximo_pregao,real_alta_proximo_pregao,acertou,confianca
2018-07-19,0.557833,1,1,neutra
2018-07-20,0.493417,0,1,neutra
2018-07-23,0.586743,1,1,neutra
2018-07-24,0.432038,1,0,neutra
2018-07-25,0.511221,0,0,neutra
2018-07-26,0.563911,1,1,neutra
2018-07-27,0.510073,1,1,neutra
2018-07-30,0.533258,0,0,neutra
2018-07-31,0.544332,1,1,neutra
2018-08-01,0.544486,1,1,neutra
2018-08-02,0.590503,1,1,neutra
2018-08-03,0.478772,0,1,neutra
2018-08-06,0.569902,0,0,neutra
2018-08-07,0.487007,0,1,neutra
2018-08-08,0.565922,0,0,neutra
2018-08-09,0.508247,0,0,neutra
2018-08-10,0.618193,1,1,alta
2018-08-13,0.49639,1,0,neutra
2018-08-14,0.50163,0,0,neutra
2018-08-15,0.64148,0,0,alta
2018-08-16,0.485623,0,1,neutra
2018-08-17,0.497831,1,0,neutra
2018-08-20,0.451667,0,1,neutra
2018-08-21,0.445961,1,0,neutra
2018-08-22,0.424151,0,1,neutra
2018-08-23,0.553551,1,1,neutra
2018-08-24,0.418999,1,0,neutra
2018-08-27,0.387314,0,1,alta
2018-08-28,0.494748,1,0,neutra
2018-08-29,0.465096,0,1,neutra
2018-08-30,0.60067,1,1,alta
2018-08-31,0.557449,0,0,neutra
2018-09-03,0.60213,0,0,alta
2018-09-04,0.553107,1,1,neutra
2018-09-05,0.537663,1,1,neutra
2018-09-06,0.49296,0,1,neutra
2018-09-10,0.514331,0,0,neutra
2018-09-11,0.565254,1,1,neutra
2018-09-12,0.465509,0,1,neutra
2018-09-13,0.463699,1,0,neutra
2018-09-14,0.468735,1,0,neutra
2018-09-17,0.459008,1,0,neutra
2018-09-18,0.43453,0,1,neutra
2018-09-19,0.516079,0,0,neutra
2018-09-20,0.498701,1,0,neutra
2018-09-21,0.420003,0,1,neutra
2018-09-24,0.600227,1,1,alta
2018-09-25,0.488382,1,0,neutra
2018-09-26,0.538546,1,1,neutra
2018-09-27,0.519145,0,0,neutra
2018-09-28,0.531186,0,0,neutra
2018-10-01,0.567149,1,1,neutra
2018-10-02,0.398029,1,0,alta
2018-10-03,0.489613,0,1,neutra
2018-10-04,0.569311,0,0,neutra
2018-10-05,0.561202,1,1,neutra
2018-10-08,0.385231,1,0,alta
2018-10-09,0.54025,0,0,neutra
2018-10-10,0.616462,0,0,alta
2018-10-11,0.608066,0,0,alta
2018-10-15,0.476203,1,0,neutra
2018-10-16,0.429258,1,0,neutra
2018-10-17,0.525097,0,0,neutra
2018-10-18,0.591455,1,1,neutra
2018-10-19,0.488431,1,0,neutra
2018-10-22,0.455306,0,1,neutra
2018-10-23,0.626964,0,0,alta
2018-10-24,0.566031,1,1,neutra
2018-10-25,0.562491,1,1,neutra
2018-10-26,0.492977,0,1,neutra
2018-10-29,0.600728,1,1,alta
2018-10-30,0.423874,1,0,neutra
2018-10-31,0.476611,1,0,neutra
2018-11-01,0.469009,0,1,neutra
2018-11-05,0.597116,0,0,neutra
2018-11-06,0.553013,0,0,neutra
2018-11-07,0.584631,0,0,neutra
2018-11-08,0.602492,1,1,alta
2018-11-09,0.615639,0,0,alta
2018-11-12,0.549148,0,0,neutra
2018-11-13,0.521987,1,1,neutra
2018-11-14,0.454463,0,1,neutra
2018-11-16,0.498602,0,1,neutra
2018-11-19,0.494085,0,1,neutra
2018-11-21,0.538797,1,1,neutra
2018-11-22,0.492077,0,1,neutra
2018-11-23,0.600191,0,0,alta
2018-11-26,0.565772,1,1,neutra
2018-11-27,0.426487,1,0,neutra
2018-11-28,0.414861,1,0,neutra
2018-11-29,0.495247,0,1,neutra
2018-11-30,0.547228,1,1,neutra
2018-12-03,0.484047,0,1,neutra
2018-12-04,0.499862,1,0,neutra
2018-12-05,0.506814,0,0,neutra
2018-12-06,0.520981,0,0,neutra
2018-12-07,0.453816,0,1,neutra
2018-12-10,0.646958,1,1,alta
2018-12-11,0.492389,1,0,neutra
2018-12-12,0.510389,1,1,neutra
2018-12-13,0.456798,0,1,neutra
2018-12-14,0.50122,0,0,neutra
2018-12-17,0.468121,1,0,neutra
2018-12-18,0.61312,0,0,alta
2018-12-19,0.455039,0,1,neutra
2018-12-20,0.521415,1,1,neutra
2018-12-21,0.464886,0,1,neutra
2018-12-26,0.513364,1,1,neutra
2018-12-27,0.563215,1,1,neutra
2018-12-28,0.379773,0,1,alta
2019-01-02,0.498447,1,0,neutra
2019-01-03,0.400155,1,0,neutra
2019-01-04,0.592155,0,0,neutra
2019-01-07,0.49909,1,0,neutra
2019-01-08,0.520372,1,1,neutra
2019-01-09,0.44641,1,0,neutra
2019-01-10,0.539013,0,0,neutra
2019-01-11,0.483442,1,0,neutra
2019-01-14,0.498088,0,1,neutra
2019-01-15,0.553377,1,1,neutra
2019-01-16,0.481662,1,0,neutra
2019-01-17,0.496147,1,0,neutra
2019-01-18,0.524537,0,0,neutra
2019-01-21,0.525537,0,0,neutra
2019-01-22,0.563332,1,1,neutra
2019-01-23,0.479208,1,0,neutra
2019-01-24,0.495681,0,1,neutra
2019-01-28,0.507483,1,1,neutra
2019-01-29,0.487759,1,0,neutra
2019-01-30,0.491384,1,0,neutra
2019-01-31,0.544113,1,1,neutra
2019-02-01,0.516409,1,1,neutra
2019-02-04,0.507298,0,0,neutra
2019-02-05,0.545362,0,0,neutra
2019-02-06,0.613312,0,0,alta
2019-02-07,0.506808,1,1,neutra
2019-02-08,0.482861,0,1,neutra
2019-02-11,0.566769,1,1,neutra
2019-02-12,0.520422,0,0,neutra
2019-02-13,0.51794,1,1,neutra
2019-02-14,0.438297,0,1,neutra
2019-02-15,0.529697,0,0,neutra
2019-02-18,0.570009,1,1,neutra
2019-02-19,0.44628,0,1,neutra
2019-02-20,0.51823,1,1,neutra
2019-02-21,0.507855,1,1,neutra
2019-02-22,0.461639,0,1,neutra
2019-02-25,0.587128,1,1,neutra
2019-02-26,0.502086,0,0,neutra
2019-02-27,0.526998,0,0,neutra
2019-02-28,0.553164,0,0,neutra
2019-03-01,0.589063,0,0,neutra
2019-03-06,0.463404,1,0,neutra
2019-03-07,0.491651,1,0,neutra
2019-03-08,0.469875,1,0,neutra
2019-03-11,0.449821,0,1,neutra
2019-03-12,0.515246,1,1,neutra
2019-03-13,0.458482,0,1,neutra
2019-03-14,0.533195,1,1,neutra
2019-03-15,0.498011,1,0,neutra
2019-03-18,0.528444,0,0,neutra
2019-03-19,0.526369,0,0,neutra
2019-03-20,0.572963,0,0,neutra
2019-03-21,0.603669,0,0,alta
2019-03-22,0.614507,0,0,alta
2019-03-25,0.510346,1,1,neutra
2019-03-26,0.463434,0,1,neutra
2019-03-27,0.5696,1,1,neutra
2019-03-28,0.438536,1,0,neutra
2019-03-29,0.415516,1,0,neutra
2019-04-01,0.552725,0,0,neutra
2019-04-02,0.541268,0,0,neutra
2019-04-03,0.507479,1,1,neutra
2019-04-04,0.486659,1,0,neutra
2019-04-05,0.48568,1,0,neutra
2019-04-08,0.489546,0,1,neutra
2019-04-09,0.539039,0,0,neutra
2019-04-10,0.528881,0,0,neutra
2019-04-11,0.572832,0,0,neutra
2019-04-12,0.525391,1,1,neutra
2019-04-15,0.547326,1,1,neutra
2019-04-16,0.47102,0,1,neutra
2019-04-17,0.520827,1,1,neutra
2019-04-18,0.495392,0,1,neutra
2019-04-22,0.512599,1,1,neutra
2019-04-23,0.490554,0,1,neutra
2019-04-24,0.505685,1,1,neutra
2019-04-25,0.507719,0,0,neutra
2019-04-26,0.512206,0,0,neutra
2019-04-29,0.555452,1,1,neutra
2019-04-30,0.500845,0,0,neutra
2019-05-02,0.534328,1,1,neutra
2019-05-03,0.506707,0,0,neutra
2019-05-06,0.527777,0,0,neutra
2019-05-07,0.579767,1,1,neutra
2019-05-08,0.47658,0,1,neutra
2019-05-09,0.477656,0,1,neutra
2019-05-10,0.540095,0,0,neutra
2019-05-13,0.608408,1,1,alta
2019-05-14,0.494717,0,1,neutra
2019-05-15,0.508268,0,0,neutra
2019-05-16,0.554734,0,0,neutra
2019-05-17,0.50359,1,1,neutra
2019-05-20,0.460848,1,0,neutra
2019-05-21,0.451174,0,1,neutra
2019-05-22,0.547625,0,0,neutra
2019-05-23,0.537124,0,0,neutra
2019-05-24,0.462815,1,0,neutra
2019-05-27,0.438408,1,0,neutra
2019-05-28,0.45691,1,0,neutra
2019-05-29,0.526467,1,1,neutra
2019-05-30,0.509259,0,0,neutra
2019-05-31,0.543393,0,0,neutra
2019-06-03,0.503294,1,1,neutra
2019-06-04,0.492811,0,1,neutra
2019-06-05,0.599508,1,1,neutra
2019-06-06,0.461028,1,0,neutra
2019-06-07,0.502854,0,0,neutra
2019-06-10,0.531446,1,1,neutra
2019-06-11,0.489799,0,1,neutra
2019-06-12,0.538138,1,1,neutra
